zone,year,population,water_supply_mgd,water_demand_mgd,groundwater_extraction_mgd,groundwater_recharge_mgd,energy_consumption_mu,solar_capacity_mw,renewable_share_percent,waste_generated_tpd,waste_processed_tpd,landfill_dependency_percent,green_space_sqkm,tree_cover_percent,built_up_density_percent,ghg_emissions_mtco2,transport_emissions_mtco2,waste_emissions_mtco2,sustainability_score
North,2015,2450000,98,118,42,28,3200,18,0.6,890,445,50,12.2,14.5,68,4.2,1.8,0.4,58
North,2016,2510000,99,122,44,29,3280,21,0.7,915,503,45,12.3,14.8,69,4.3,1.9,0.4,59
North,2017,2570000,100,126,45,29,3360,24,0.8,940,564,40,12.4,15.1,70,4.4,2.0,0.4,60
North,2018,2630000,101,131,47,30,3440,28,0.9,965,627,35,12.5,15.4,71,4.5,2.1,0.3,61
North,2019,2690000,102,135,48,30,3520,32,1.0,990,693,31,12.6,15.7,72,4.5,2.2,0.3,62
North,2020,2750000,103,139,49,31,3600,36,1.1,1015,762,27,12.7,16.0,73,4.6,2.3,0.3,63
North,2021,2810000,104,144,50,31,3680,41,1.2,1040,832,22,12.8,16.3,74,4.7,2.4,0.3,64
North,2022,2870000,105,148,51,32,3760,45,1.3,1065,905,18,12.9,16.6,75,4.8,2.5,0.3,65
North,2023,2930000,106,153,52,32,3840,50,1.4,1090,981,15,13.0,16.9,76,4.8,2.6,0.3,66
North,2024,2990000,107,158,53,33,3920,55,1.5,1115,1060,12,13.1,17.2,77,4.9,2.7,0.2,67
North,2025,3050000,108,163,54,33,4000,60,1.6,1140,1142,10,13.2,17.5,78,5.0,2.8,0.2,68
North,2026,3110000,109,168,55,34,4080,66,1.7,1165,1227,8,13.3,17.8,79,5.1,2.9,0.2,69
North,2027,3170000,110,173,56,34,4160,72,1.8,1190,1315,6,13.4,18.1,80,5.2,3.0,0.2,70
North,2028,3230000,111,178,57,35,4240,78,1.9,1215,1406,5,13.5,18.4,81,5.2,3.1,0.2,71
North,2029,3290000,112,183,58,35,4320,85,2.0,1240,1500,4,13.6,18.7,82,5.3,3.2,0.2,72
North,2030,3350000,113,188,59,36,4400,92,2.1,1265,1597,3,13.7,19.0,83,5.4,3.3,0.2,73
South,2015,3120000,125,142,38,35,4200,35,0.9,1100,605,45,28.5,22.5,55,5.1,2.4,0.4,65
